"transp_tech","season","zone_start","zone_end","rate"
"pipe_gas","sum","northDistrict","dormitories",0.00
"pipe_gas","shoulder","northDistrict","dormitories",0.00
"pipe_gas","wint","northDistrict","energyIsland",0.13
"pipe_gas","sum","northDistrict","energyIsland",0.00
"pipe_gas","shoulder","northDistrict","energyIsland",0.07
"pipe_gas","wint","northDistrict","factory",0.00
"pipe_gas","sum","northDistrict","factory",0.00
"pipe_gas","shoulder","northDistrict","factory",0.00
"pipe_gas","wint","northDistrict","factory_assembly",0.00
"pipe_gas","sum","northDistrict","factory_assembly",0.00
"pipe_gas","shoulder","northDistrict","factory_assembly",0.00
"pipe_gas","wint","northDistrict","factory_blades",0.00
"pipe_gas","sum","northDistrict","factory_blades",0.00
"pipe_gas","shoulder","northDistrict","factory_blades",0.00
"pipe_gas","wint","northDistrict","hospital",0.00
"pipe_gas","sum","northDistrict","hospital",0.00
"pipe_gas","shoulder","northDistrict","hospital",0.00
"pipe_gas","wint","northDistrict","multifunction",0.00
"pipe_gas","sum","northDistrict","multifunction",0.00
"pipe_gas","shoulder","northDistrict","multifunction",0.00
"pipe_gas","wint","northDistrict","northDistrict",0.00
"pipe_gas","sum","northDistrict","northDistrict",0.00
"pipe_gas","shoulder","northDistrict","northDistrict",0.00
"pipe_gas","wint","northDistrict","quality",0.00
"pipe_gas","sum","northDistrict","quality",0.00
"pipe_gas","shoulder","northDistrict","quality",0.00
"pipe_gas","wint","northDistrict","reserved",0.00
"pipe_gas","sum","northDistrict","reserved",0.00
"pipe_gas","shoulder","northDistrict","reserved",0.00
"pipe_gas","wint","northDistrict","residential",41.10
"pipe_gas","sum","northDistrict","residential",0.00
"pipe_gas","shoulder","northDistrict","residential",20.55
"pipe_gas","wint","northDistrict","school",0.00
"pipe_gas","sum","northDistrict","school",0.00
"pipe_gas","shoulder","northDistrict","school",0.00
"pipe_gas","wint","northDistrict","tech",0.00
"pipe_gas","sum","northDistrict","tech",0.00
"pipe_gas","shoulder","northDistrict","tech",0.00
"pipe_gas","wint","quality","dormitories",0.00
"pipe_gas","sum","quality","dormitories",0.00
"pipe_gas","shoulder","quality","dormitories",0.00
"pipe_gas","wint","quality","energyIsland",0.00
"pipe_gas","sum","quality","energyIsland",0.00
"pipe_gas","shoulder","quality","energyIsland",0.00
"pipe_gas","wint","quality","factory",0.00
"pipe_gas","sum","quality","factory",0.00
"pipe_gas","shoulder","quality","factory",0.00
"pipe_gas","wint","quality","factory_assembly",0.00
"pipe_gas","sum","quality","factory_assembly",0.00
"pipe_gas","shoulder","quality","factory_assembly",0.00
"pipe_gas","wint","quality","factory_blades",0.00
"pipe_gas","sum","quality","factory_blades",0.00
"pipe_gas","shoulder","quality","factory_blades",0.00
"pipe_gas","wint","quality","hospital",0.00
"pipe_gas","sum","quality","hospital",0.00
"pipe_gas","shoulder","quality","hospital",0.00
"pipe_gas","wint","quality","multifunction",0.00
"pipe_gas","sum","quality","multifunction",0.00
"pipe_gas","shoulder","quality","multifunction",0.00
"pipe_gas","wint","quality","northDistrict",0.00
"pipe_gas","sum","quality","northDistrict",0.00
"pipe_gas","shoulder","quality","northDistrict",0.00
"pipe_gas","wint","quality","quality",0.00
"pipe_gas","sum","quality","quality",0.00
"pipe_gas","shoulder","quality","quality",0.00
"pipe_gas","wint","quality","reserved",0.00
"pipe_gas","sum","quality","reserved",0.00
"pipe_gas","shoulder","quality","reserved",0.00
"pipe_gas","wint","quality","residential",0.00
"pipe_gas","sum","quality","residential",0.00
"pipe_gas","shoulder","quality","residential",0.00
"pipe_gas","wint","quality","school",0.00
"pipe_gas","sum","quality","school",0.00
"pipe_gas","shoulder","quality","school",0.00
"pipe_gas","wint","quality","tech",0.00
"pipe_gas","sum","quality","tech",0.00
"pipe_gas","shoulder","quality","tech",0.00
"pipe_gas","wint","reserved","dormitories",0.00
"pipe_gas","sum","reserved","dormitories",0.00
"pipe_gas","shoulder","reserved","dormitories",0.00
"pipe_gas","wint","reserved","energyIsland",0.00
"pipe_gas","sum","reserved","energyIsland",0.00
"pipe_gas","shoulder","reserved","energyIsland",0.00
"pipe_gas","wint","reserved","factory",0.00
"pipe_gas","sum","reserved","factory",0.00
"pipe_gas","shoulder","reserved","factory",0.00
"pipe_gas","wint","reserved","factory_assembly",0.00
"pipe_gas","sum","reserved","factory_assembly",0.00
"pipe_gas","shoulder","reserved","factory_assembly",0.00
"pipe_gas","wint","reserved","factory_blades",0.00
"pipe_gas","sum","reserved","factory_blades",0.00
"pipe_gas","shoulder","reserved","factory_blades",0.00
"pipe_gas","wint","reserved","hospital",0.00
"pipe_gas","sum","reserved","hospital",0.00
"pipe_gas","shoulder","reserved","hospital",0.00
"pipe_gas","wint","reserved","multifunction",0.00
"pipe_gas","sum","reserved","multifunction",0.00
"pipe_gas","shoulder","reserved","multifunction",0.00
"pipe_gas","wint","reserved","northDistrict",0.00
"pipe_gas","sum","reserved","northDistrict",0.00
"pipe_gas","shoulder","reserved","northDistrict",0.00
"pipe_gas","wint","reserved","quality",0.00
"pipe_gas","sum","reserved","quality",0.00
"pipe_gas","shoulder","reserved","quality",0.00
"pipe_gas","wint","reserved","reserved",0.00
"pipe_gas","sum","reserved","reserved",0.00
"pipe_gas","shoulder","reserved","reserved",0.00
"pipe_gas","wint","reserved","residential",0.00
"pipe_gas","sum","reserved","residential",0.00
"pipe_gas","shoulder","reserved","residential",0.00
"pipe_gas","wint","reserved","school",0.00
"pipe_gas","sum","reserved","school",0.00
"pipe_gas","shoulder","reserved","school",0.00
"pipe_gas","wint","reserved","tech",0.00
"pipe_gas","sum","reserved","tech",0.00
"pipe_gas","shoulder","reserved","tech",0.00
"pipe_gas","wint","residential","dormitories",0.00
"pipe_gas","sum","residential","dormitories",0.00
"pipe_gas","shoulder","residential","dormitories",0.00
"pipe_gas","wint","residential","energyIsland",0.00
"pipe_gas","sum","residential","energyIsland",0.00
"pipe_gas","shoulder","residential","energyIsland",0.00
"pipe_gas","wint","residential","factory",0.00
"pipe_gas","sum","residential","factory",0.00
"pipe_gas","shoulder","residential","factory",0.00
"pipe_gas","wint","residential","factory_assembly",0.00
"pipe_gas","sum","residential","factory_assembly",0.00
"pipe_gas","shoulder","residential","factory_assembly",0.00
"pipe_gas","wint","residential","factory_blades",0.00
"pipe_gas","sum","residential","factory_blades",0.00
"pipe_gas","shoulder","residential","factory_blades",0.00
"pipe_gas","wint","residential","hospital",0.00
"pipe_gas","sum","residential","hospital",0.00
"pipe_gas","shoulder","residential","hospital",17.39
"pipe_gas","wint","residential","multifunction",0.00
"pipe_gas","sum","residential","multifunction",0.00
"pipe_gas","shoulder","residential","multifunction",0.00
"pipe_gas","wint","residential","northDistrict",0.00
"pipe_gas","sum","residential","northDistrict",0.00
"pipe_gas","shoulder","residential","northDistrict",0.00
"pipe_gas","wint","residential","quality",0.00
"pipe_gas","sum","residential","quality",0.00
