"transp_tech","resource","season","zone","value"
"pipe_gas","biomass","shoulder","school",0.00
"pipe_gas","biomass","wint","tech",0.00
"pipe_gas","biomass","sum","tech",0.00
"pipe_gas","biomass","shoulder","tech",0.00
"pipe_gas","biomassAgriWaste","wint","dormitories",0.00
"pipe_gas","biomassAgriWaste","sum","dormitories",0.00
"pipe_gas","biomassAgriWaste","shoulder","dormitories",0.00
"pipe_gas","biomassAgriWaste","wint","energyIsland",0.00
"pipe_gas","biomassAgriWaste","sum","energyIsland",0.00
"pipe_gas","biomassAgriWaste","shoulder","energyIsland",0.00
"pipe_gas","biomassAgriWaste","wint","factory",0.00
"pipe_gas","biomassAgriWaste","sum","factory",0.00
"pipe_gas","biomassAgriWaste","shoulder","factory",0.00
"pipe_gas","biomassAgriWaste","wint","factory_assembly",0.00
"pipe_gas","biomassAgriWaste","sum","factory_assembly",0.00
"pipe_gas","biomassAgriWaste","shoulder","factory_assembly",0.00
"pipe_gas","biomassAgriWaste","wint","factory_blades",0.00
"pipe_gas","biomassAgriWaste","sum","factory_blades",0.00
"pipe_gas","biomassAgriWaste","shoulder","factory_blades",0.00
"pipe_gas","biomassAgriWaste","wint","hospital",0.00
"pipe_gas","biomassAgriWaste","sum","hospital",0.00
"pipe_gas","biomassAgriWaste","shoulder","hospital",0.00
"pipe_gas","biomassAgriWaste","wint","multifunction",0.00
"pipe_gas","biomassAgriWaste","sum","multifunction",0.00
"pipe_gas","biomassAgriWaste","shoulder","multifunction",0.00
"pipe_gas","biomassAgriWaste","wint","northDistrict",0.00
"pipe_gas","biomassAgriWaste","sum","northDistrict",0.00
"pipe_gas","biomassAgriWaste","shoulder","northDistrict",0.00
"pipe_gas","biomassAgriWaste","wint","quality",0.00
"pipe_gas","biomassAgriWaste","sum","quality",0.00
"pipe_gas","biomassAgriWaste","shoulder","quality",0.00
"pipe_gas","biomassAgriWaste","wint","reserved",0.00
"pipe_gas","biomassAgriWaste","sum","reserved",0.00
"pipe_gas","biomassAgriWaste","shoulder","reserved",0.00
"pipe_gas","biomassAgriWaste","wint","residential",0.00
"pipe_gas","biomassAgriWaste","sum","residential",0.00
"pipe_gas","biomassAgriWaste","shoulder","residential",0.00
"pipe_gas","biomassAgriWaste","wint","school",0.00
"pipe_gas","biomassAgriWaste","sum","school",0.00
"pipe_gas","biomassAgriWaste","shoulder","school",0.00
"pipe_gas","biomassAgriWaste","wint","tech",0.00
"pipe_gas","biomassAgriWaste","sum","tech",0.00
"pipe_gas","biomassAgriWaste","shoulder","tech",0.00
"pipe_gas","biooil","wint","dormitories",0.00
"pipe_gas","biooil","sum","dormitories",0.00
"pipe_gas","biooil","shoulder","dormitories",0.00
"pipe_gas","biooil","wint","energyIsland",0.00
"pipe_gas","biooil","sum","energyIsland",0.00
"pipe_gas","biooil","shoulder","energyIsland",0.00
"pipe_gas","biooil","wint","factory",0.00
"pipe_gas","biooil","sum","factory",0.00
"pipe_gas","biooil","shoulder","factory",0.00
"pipe_gas","biooil","wint","factory_assembly",0.00
"pipe_gas","biooil","sum","factory_assembly",0.00
"pipe_gas","biooil","shoulder","factory_assembly",0.00
"pipe_gas","biooil","wint","factory_blades",0.00
"pipe_gas","biooil","sum","factory_blades",0.00
"pipe_gas","biooil","shoulder","factory_blades",0.00
"pipe_gas","biooil","wint","hospital",0.00
"pipe_gas","biooil","sum","hospital",0.00
"pipe_gas","biooil","shoulder","hospital",0.00
"pipe_gas","biooil","wint","multifunction",0.00
"pipe_gas","biooil","sum","multifunction",0.00
"pipe_gas","biooil","shoulder","multifunction",0.00
"pipe_gas","biooil","wint","northDistrict",0.00
"pipe_gas","biooil","sum","northDistrict",0.00
"pipe_gas","biooil","shoulder","northDistrict",0.00
"pipe_gas","biooil","wint","quality",0.00
"pipe_gas","biooil","sum","quality",0.00
"pipe_gas","biooil","shoulder","quality",0.00
"pipe_gas","biooil","wint","reserved",0.00
"pipe_gas","biooil","sum","reserved",0.00
"pipe_gas","biooil","shoulder","reserved",0.00
"pipe_gas","biooil","wint","residential",0.00
"pipe_gas","biooil","sum","residential",0.00
"pipe_gas","biooil","shoulder","residential",0.00
"pipe_gas","biooil","wint","school",0.00
"pipe_gas","biooil","sum","school",0.00
"pipe_gas","biooil","shoulder","school",0.00
"pipe_gas","biooil","wint","tech",0.00
"pipe_gas","biooil","sum","tech",0.00
"pipe_gas","biooil","shoulder","tech",0.00
"pipe_gas","butanol","wint","dormitories",0.00
"pipe_gas","butanol","sum","dormitories",0.00
"pipe_gas","butanol","shoulder","dormitories",0.00
"pipe_gas","butanol","wint","energyIsland",0.00
"pipe_gas","butanol","sum","energyIsland",0.00
"pipe_gas","butanol","shoulder","energyIsland",0.00
"pipe_gas","butanol","wint","factory",0.00
"pipe_gas","butanol","sum","factory",0.00
"pipe_gas","butanol","shoulder","factory",0.00
"pipe_gas","butanol","wint","factory_assembly",0.00
"pipe_gas","butanol","sum","factory_assembly",0.00
"pipe_gas","butanol","shoulder","factory_assembly",0.00
"pipe_gas","butanol","wint","factory_blades",0.00
"pipe_gas","butanol","sum","factory_blades",0.00
"pipe_gas","butanol","shoulder","factory_blades",0.00
"pipe_gas","butanol","wint","hospital",0.00
"pipe_gas","butanol","sum","hospital",0.00
"pipe_gas","butanol","shoulder","hospital",0.00
"pipe_gas","butanol","wint","multifunction",0.00
"pipe_gas","butanol","sum","multifunction",0.00
"pipe_gas","butanol","shoulder","multifunction",0.00
"pipe_gas","butanol","wint","northDistrict",0.00
"pipe_gas","butanol","sum","northDistrict",0.00
"pipe_gas","butanol","shoulder","northDistrict",0.00
"pipe_gas","butanol","wint","quality",0.00
"pipe_gas","butanol","sum","quality",0.00
"pipe_gas","butanol","shoulder","quality",0.00
"pipe_gas","butanol","wint","reserved",0.00
"pipe_gas","butanol","sum","reserved",0.00
"pipe_gas","butanol","shoulder","reserved",0.00
"pipe_gas","butanol","wint","residential",0.00
"pipe_gas","butanol","sum","residential",0.00
"pipe_gas","butanol","shoulder","residential",0.00
"pipe_gas","butanol","wint","school",0.00
"pipe_gas","butanol","sum","school",0.00
"pipe_gas","butanol","shoulder","school",0.00
"pipe_gas","butanol","wint","tech",0.00
"pipe_gas","butanol","sum","tech",0.00
"pipe_gas","butanol","shoulder","tech",0.00
"pipe_gas","CNG","wint","dormitories",0.00
"pipe_gas","CNG","sum","dormitories",0.00
"pipe_gas","CNG","shoulder","dormitories",0.00
"pipe_gas","CNG","wint","energyIsland",0.00
"pipe_gas","CNG","sum","energyIsland",0.00
"pipe_gas","CNG","shoulder","energyIsland",0.00
"pipe_gas","CNG","wint","factory",0.00
"pipe_gas","CNG","sum","factory",0.00
"pipe_gas","CNG","shoulder","factory",0.00
"pipe_gas","CNG","wint","factory_assembly",0.00
"pipe_gas","CNG","sum","factory_assembly",0.00
"pipe_gas","CNG","shoulder","factory_assembly",0.00
"pipe_gas","CNG","wint","factory_blades",0.00
"pipe_gas","CNG","sum","factory_blades",0.00
"pipe_gas","CNG","shoulder","factory_blades",0.00
"pipe_gas","CNG","wint","hospital",0.00
"pipe_gas","CNG","sum","hospital",0.00
"pipe_gas","CNG","shoulder","hospital",0.00
"pipe_gas","CNG","wint","multifunction",0.00
"pipe_gas","CNG","sum","multifunction",0.00
"pipe_gas","CNG","shoulder","multifunction",0.00
"pipe_gas","CNG","wint","northDistrict",0.00
"pipe_gas","CNG","sum","northDistrict",0.00
"pipe_gas","CNG","shoulder","northDistrict",0.00
"pipe_gas","CNG","wint","quality",0.00
"pipe_gas","CNG","sum","quality",0.00
"pipe_gas","CNG","shoulder","quality",0.00
"pipe_gas","CNG","wint","reserved",0.00
"pipe_gas","CNG","sum","reserved",0.00
"pipe_gas","CNG","shoulder","reserved",0.00
"pipe_gas","CNG","wint","residential",0.00
"pipe_gas","CNG","sum","residential",0.00
"pipe_gas","CNG","shoulder","residential",0.00
"pipe_gas","CNG","wint","school",0.00
"pipe_gas","CNG","sum","school",0.00
"pipe_gas","CNG","shoulder","school",0.00
"pipe_gas","CNG","wint","tech",0.00
"pipe_gas","CNG","sum","tech",0.00
"pipe_gas","CNG","shoulder","tech",0.00
"pipe_gas","CO2","wint","dormitories",0.00
"pipe_gas","CO2","sum","dormitories",0.00
"pipe_gas","CO2","shoulder","dormitories",0.00
"pipe_gas","CO2","wint","energyIsland",0.00
"pipe_gas","CO2","sum","energyIsland",0.00
"pipe_gas","CO2","shoulder","energyIsland",0.00
"pipe_gas","CO2","wint","factory",0.00
"pipe_gas","CO2","sum","factory",0.00
"pipe_gas","CO2","shoulder","factory",0.00
"pipe_gas","CO2","wint","factory_assembly",0.00
"pipe_gas","CO2","sum","factory_assembly",0.00
"pipe_gas","CO2","shoulder","factory_assembly",0.00
"pipe_gas","CO2","wint","factory_blades",0.00
"pipe_gas","CO2","sum","factory_blades",0.00
"pipe_gas","CO2","shoulder","factory_blades",0.00
"pipe_gas","CO2","wint","hospital",0.00
"pipe_gas","CO2","sum","hospital",0.00
"pipe_gas","CO2","shoulder","hospital",0.00
"pipe_gas","CO2","wint","multifunction",0.00
"pipe_gas","CO2","sum","multifunction",0.00
"pipe_gas","CO2","shoulder","multifunction",0.00
"pipe_gas","CO2","wint","northDistrict",0.00
"pipe_gas","CO2","sum","northDistrict",0.00
"pipe_gas","CO2","shoulder","northDistrict",0.00
"pipe_gas","CO2","wint","quality",0.00
"pipe_gas","CO2","sum","quality",0.00
"pipe_gas","CO2","shoulder","quality",0.00
"pipe_gas","CO2","wint","reserved",0.00
"pipe_gas","CO2","sum","reserved",0.00
"pipe_gas","CO2","shoulder","reserved",0.00
"pipe_gas","CO2","wint","residential",0.00
"pipe_gas","CO2","sum","residential",0.00
"pipe_gas","CO2","shoulder","residential",0.00
"pipe_gas","CO2","wint","school",0.00
"pipe_gas","CO2","sum","school",0.00
"pipe_gas","CO2","shoulder","school",0.00
"pipe_gas","CO2","wint","tech",0.00
"pipe_gas","CO2","sum","tech",0.00
"pipe_gas","CO2","shoulder","tech",0.00
"pipe_gas","coal","wint","dormitories",0.00
"pipe_gas","coal","sum","dormitories",0.00
"pipe_gas","coal","shoulder","dormitories",0.00
"pipe_gas","coal","wint","energyIsland",0.00
"pipe_gas","coal","sum","energyIsland",0.00
"pipe_gas","coal","shoulder","energyIsland",0.00
"pipe_gas","coal","wint","factory",0.00
"pipe_gas","coal","sum","factory",0.00
"pipe_gas","coal","shoulder","factory",0.00
"pipe_gas","coal","wint","factory_assembly",0.00
"pipe_gas","coal","sum","factory_assembly",0.00
"pipe_gas","coal","shoulder","factory_assembly",0.00
"pipe_gas","coal","wint","factory_blades",0.00
"pipe_gas","coal","sum","factory_blades",0.00
"pipe_gas","coal","shoulder","factory_blades",0.00
"pipe_gas","coal","wint","hospital",0.00
"pipe_gas","coal","sum","hospital",0.00
"pipe_gas","coal","shoulder","hospital",0.00
"pipe_gas","coal","wint","multifunction",0.00
"pipe_gas","coal","sum","multifunction",0.00
"pipe_gas","coal","shoulder","multifunction",0.00
"pipe_gas","coal","wint","northDistrict",0.00
"pipe_gas","coal","sum","northDistrict",0.00
"pipe_gas","coal","shoulder","northDistrict",0.00
"pipe_gas","coal","wint","quality",0.00
"pipe_gas","coal","sum","quality",0.00
"pipe_gas","coal","shoulder","quality",0.00
"pipe_gas","coal","wint","reserved",0.00
"pipe_gas","coal","sum","reserved",0.00
