"process","resource","season","zone","value"
"airCon_central","coal","sum","quality",0.00
"airCon_central","coal","shoulder","quality",0.00
"airCon_central","coal","wint","reserved",0.00
"airCon_central","coal","sum","reserved",0.00
"airCon_central","coal","shoulder","reserved",0.00
"airCon_central","coal","wint","residential",0.00
"airCon_central","coal","sum","residential",0.00
"airCon_central","coal","shoulder","residential",0.00
"airCon_central","coal","wint","school",0.00
"airCon_central","coal","sum","school",0.00
"airCon_central","coal","shoulder","school",0.00
"airCon_central","coal","wint","tech",0.00
"airCon_central","coal","sum","tech",0.00
"airCon_central","coal","shoulder","tech",0.00
"airCon_central","coke","wint","dormitories",0.00
"airCon_central","coke","sum","dormitories",0.00
"airCon_central","coke","shoulder","dormitories",0.00
"airCon_central","coke","wint","energyIsland",0.00
"airCon_central","coke","sum","energyIsland",0.00
"airCon_central","coke","shoulder","energyIsland",0.00
"airCon_central","coke","wint","factory",0.00
"airCon_central","coke","sum","factory",0.00
"airCon_central","coke","shoulder","factory",0.00
"airCon_central","coke","wint","factory_assembly",0.00
"airCon_central","coke","sum","factory_assembly",0.00
"airCon_central","coke","shoulder","factory_assembly",0.00
"airCon_central","coke","wint","factory_blades",0.00
"airCon_central","coke","sum","factory_blades",0.00
"airCon_central","coke","shoulder","factory_blades",0.00
"airCon_central","coke","wint","hospital",0.00
"airCon_central","coke","sum","hospital",0.00
"airCon_central","coke","shoulder","hospital",0.00
"airCon_central","coke","wint","multifunction",0.00
"airCon_central","coke","sum","multifunction",0.00
"airCon_central","coke","shoulder","multifunction",0.00
"airCon_central","coke","wint","northDistrict",0.00
"airCon_central","coke","sum","northDistrict",0.00
"airCon_central","coke","shoulder","northDistrict",0.00
"airCon_central","coke","wint","quality",0.00
"airCon_central","coke","sum","quality",0.00
"airCon_central","coke","shoulder","quality",0.00
"airCon_central","coke","wint","reserved",0.00
"airCon_central","coke","sum","reserved",0.00
"airCon_central","coke","shoulder","reserved",0.00
"airCon_central","coke","wint","residential",0.00
"airCon_central","coke","sum","residential",0.00
"airCon_central","coke","shoulder","residential",0.00
"airCon_central","coke","wint","school",0.00
"airCon_central","coke","sum","school",0.00
"airCon_central","coke","shoulder","school",0.00
"airCon_central","coke","wint","tech",0.00
"airCon_central","coke","sum","tech",0.00
"airCon_central","coke","shoulder","tech",0.00
"airCon_central","cold_primary_feed","wint","dormitories",0.00
"airCon_central","cold_primary_feed","sum","dormitories",0.00
"airCon_central","cold_primary_feed","shoulder","dormitories",0.00
"airCon_central","cold_primary_feed","wint","energyIsland",0.00
"airCon_central","cold_primary_feed","sum","energyIsland",0.00
"airCon_central","cold_primary_feed","shoulder","energyIsland",0.00
"airCon_central","cold_primary_feed","wint","factory",0.00
"airCon_central","cold_primary_feed","sum","factory",0.00
