Authors,Title,status,notes,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Pedersen, J., Vanmater, A.",Resource driven urban metabolism,keep,"“...generative and genetic algorithms to develop a new associative system to develop coastal cities in arid climates. The system functions as a negative feedback loop, analysing existing conditions, and by a series of mathematicsl functions, projecting the new growth patterns for major components of a city... [e.g. canal networks]”. Developing design strategies. Create a “novel growth model, by using resource-based driver for the genreation of a city, where you cannot prescribe the resulting morphology.” Bettencourt's metabolic scaling characteristics,e.g. to determing the footprint and height of bulding envelopes etc.Generative algorithm generates networks and entities (“growth over time”), with “embedded control system” to control rules (e.g. populatin limits etc.). A city-generating algorithm means cities “can, to an extent, be grown and designed holistically.” using a “mathematical growth model that revolves around the resources of a city.”",2013,"Open Systems - Proceedings of the 18th International Conference on Computer-Aided Architectural Design Research in Asia, CAADRIA 2013",,,,561,570,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894199126&partnerID=40&md5=e94fd21ece5023073fd55418c1109344,Conference Paper,Scopus,2-s2.0-84894199126
"Mörtberg, U., Haas, J., Zetterberg, A., Franklin, J.P., Jonsson, D., Deal, B.",Urban ecosystems and sustainable urban development-analysing and assessing interacting systems in the Stockholm region,keep,"Need more emphasis on “ecosystem functions in urban policy and planning”, but complex feedback between ecosystems and urban systems. For policy assessment. A good section reviewing models. LEAM: cullular automata and global probablility surfaces “to project and visulize future patterns of human land-use...to asses 'what-if' questions of varying policy or investment decision scenarios.” E.g. economy related to urban sprawl. Landu-use change + impact assessment component. Land-use cells “evolve according to predefined rules, affecting cells in the vicinity that in turn influence the state of other cells.” “advanced model integration platform” integrating “urban form, landuse and tranportation, urban metabolism, as well as ecological processes”. Applied scenarios to see what would happen to Greenstructure of Stockholme",2013,Urban Ecosystems,16,4,,763,782,,3,10.1007/s11252-012-0270-3,http://www.scopus.com/inward/record.url?eid=2-s2.0-84888380521&partnerID=40&md5=561e6e4154daf8342df363e8bcecf691,Article,Scopus,2-s2.0-84888380521
"Liu, G.Y., Yang, Z.F., Chen, B., Xu, L.Y., Zhang, Y.",Study of urban metabolic structure based on ecological network: A case study of Dalian,keep,More ENA (article in Chinese),2013,Shengtai Xuebao/ Acta Ecologica Sinica,33,18,,5926,5934,,,10.5846/stxb201305101008,http://www.scopus.com/inward/record.url?eid=2-s2.0-84884745496&partnerID=40&md5=726ef0778216dd9af8c7414dd0a21b69,Article,Scopus,2-s2.0-84884745496
"Scholz-Starke, B., Ottermanns, R., Rings, U., Floehr, T., Hollert, H., Hou, J., Li, B., Wu, L.L., Yuan, X., Strauch, K., Wei, H., Norra, S., Holbach, A., Westrich, B., Schäffer, A., Roß-Nickoll, M.",An integrated approach to model the biomagnification of organic pollutants in aquatic food webs of the Yangtze Three Gorges Reservoir ecosystem using adapted pollution scenarios,cut,Cut,2013,Environmental Science and Pollution Research,20,10,,7009,7026,,2,10.1007/s11356-013-1504-5,http://www.scopus.com/inward/record.url?eid=2-s2.0-84884699683&partnerID=40&md5=241a933acc3d58b456e9236fffe1c621,Article,Scopus,2-s2.0-84884699683
"Paquet, C., Orschulok, T.P., Coffee, N.T., Howard, N.J., Hugo, G., Taylor, A.W., Adams, R.J., Daniel, M.",Are accessibility and characteristics of public open spaces associated with a better cardiometabolic health?,cut,Cut,2013,Landscape and Urban Planning,118,,,70,78,,11,10.1016/j.landurbplan.2012.11.011,http://www.scopus.com/inward/record.url?eid=2-s2.0-84882859758&partnerID=40&md5=ea918758ce902fb299cf4eb2a72526d5,Article,Scopus,2-s2.0-84882859758
"Williams, C.J., Frost, P.C., Xenopoulos, M.A.",Beyond best management practices: Pelagic biogeochemical dynamics in urban stormwater ponds,cut,Cut,2013,Ecological Applications,23,6,,1384,1395,,10,10.1890/12-0825.1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84884214718&partnerID=40&md5=6d07eb8c48b2feb0a0d896d63adb0a90,Article,Scopus,2-s2.0-84884214718
"Liu, G.Y., Yang, Z.F., Chen, B.",Urban metabolism process based on emergy synthesis: A case study of Beijing,cut,Can't find,2013,Shengtai Xuebao/ Acta Ecologica Sinica,33,16,,5078,5089,,1,10.5846/stxb201204260598,http://www.scopus.com/inward/record.url?eid=2-s2.0-84881657671&partnerID=40&md5=3f86131ed7a687735817cdc2f06f87f2,Article,Scopus,2-s2.0-84881657671
"Wang, H.N., Zhao, X.F., Tang, L.N., Cui, S.H., Li, G.L.",Changes in phosphorus consumption and its environmental loads from food by residents in Xiamen City,cut,Chinese,2013,Shengtai Xuebao/ Acta Ecologica Sinica,33,14,,4495,4504,,,10.5846/stxb201204180553,http://www.scopus.com/inward/record.url?eid=2-s2.0-84880959595&partnerID=40&md5=f571350c5dbe1b23cf9e3c2e5c6b6b9f,Article,Scopus,2-s2.0-84880959595
"Qu, L., Zhang, T., Liang, S.",Waste management of urban agglomeration on a life cycle basis,keep,Uses an LCA model (just to study the waste component of metabolism of a city). MUIO-LCA (mixed-unit input-output LCA),2013,"Resources, Conservation and Recycling",78,,,47,53,,3,10.1016/j.resconrec.2013.06.009,http://www.scopus.com/inward/record.url?eid=2-s2.0-84880913551&partnerID=40&md5=a0977a02751e6befe522ca93e0a6eab1,Article,Scopus,2-s2.0-84880913551
"Iveroth, S.P., Johansson, S., Brandt, N.","The potential of the infrastructural system of Hammarby Sjöstad in Stockholm, Sweden",cut,"No full text, but mentions the 'Hammarby Model', which as noted elsewhere in this review, does not mean 'model' in the sense we are using it.",2013,Energy Policy,59,,,716,726,,1,10.1016/j.enpol.2013.04.027,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879503905&partnerID=40&md5=7fdf569d0d7298d02fb15a1c39daf611,Article,Scopus,2-s2.0-84879503905
