"Authors","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Source","EID"
"Wen, Y., Shonnard, D.R.","Environmental and economic assessments of heat exchanger networks for optimum minimum approach temperature",2003,"Computers and Chemical Engineering",27,11,,1577,1590,,10,"10.1016/S0098-1354(03)00097-8","http://www.scopus.com/inward/record.url?eid=2-s2.0-0142075390&partnerID=40&md5=0d868bd6d5f46ecf4ddf7627d4f4a89a","Article","Scopus","2-s2.0-0142075390"
"Wang, X., Chen, J., Lv, C., Wei, M.","Experimental investigation and evaluation on influence of foam flow resistance in porous media",2015,"Environmental Earth Sciences",74,7,,5729,5738,,,"10.1007/s12665-015-4590-5","http://www.scopus.com/inward/record.url?eid=2-s2.0-84941179091&partnerID=40&md5=689ffcc0bfac6e493ebb7f69d9d8aab1","Article","Scopus","2-s2.0-84941179091"
"Shuai, L., Pan, X.","Hydrolysis of cellulose by cellulase-mimetic solid catalyst",2012,"Energy and Environmental Science",5,5,,6889,6894,,34,"10.1039/c2ee03373a","http://www.scopus.com/inward/record.url?eid=2-s2.0-84860363245&partnerID=40&md5=b464e6764d16c149266a1f87f2b24d74","Article","Scopus","2-s2.0-84860363245"
"Forsberg, O.I., Guttormsen, A.G.","Modeling optimal dietary pigmentation strategies in farmed Atlantic salmon: Application of mixed-integer non-linear mathematical programming techniques",2006,"Aquaculture",261,1,,118,124,,11,"10.1016/j.aquaculture.2006.06.049","http://www.scopus.com/inward/record.url?eid=2-s2.0-33750575352&partnerID=40&md5=ffd2ad44121c196fd79e247fae4197be","Article","Scopus","2-s2.0-33750575352"
"Cannella, D., Sveding, P.V., Jørgensen, H.","PEI detoxification of pretreated spruce for high solids ethanol fermentation",2014,"Applied Energy",132,,,394,403,,1,"10.1016/j.apenergy.2014.07.038","http://www.scopus.com/inward/record.url?eid=2-s2.0-84905215556&partnerID=40&md5=655304dae51d076fcb3fef8bca59bb76","Article","Scopus","2-s2.0-84905215556"
"Katsamaki, A., Bilalis, N.","Lean framework for planning redesign proposals to optimise EOL environmental behaviour in WEEE products",2012,"International Journal of Sustainable Engineering",5,4,,312,324,,1,"10.1080/19397038.2012.694916","http://www.scopus.com/inward/record.url?eid=2-s2.0-84870828671&partnerID=40&md5=2d86ab1fcd431d1124343bdbe16ffa4f","Article","Scopus","2-s2.0-84870828671"
"Hattingh, B.B., Everson, R.C., Neomagus, H.W.J.P., Bunt, J.R.","Assessing the catalytic effect of coal ash constituents on the CO 2 gasification rate of high ash, South African coal",2011,"Fuel Processing Technology",92,10,,2048,2054,,29,"10.1016/j.fuproc.2011.06.003","http://www.scopus.com/inward/record.url?eid=2-s2.0-79960555179&partnerID=40&md5=13a11c00cf32f8c40aee3a82f61981f6","Article","Scopus","2-s2.0-79960555179"
"Samolov, A.D., Dragović, S.D., Daković, M.Ž., BaČić, G.G.","Neural networks in analysing 137Cs behaviour in the air in the belgrade area",2014,"Nuclear Technology and Radiation Protection",29,3,,226,232,,,"10/2298/NTRP1403226S","http://www.scopus.com/inward/record.url?eid=2-s2.0-84926621873&partnerID=40&md5=f5e5bc0ab4eae48a3912f820e3b99262","Article","Scopus","2-s2.0-84926621873"
"Kim, D.-G., Palacios, R.J.S., Ko, S.-O.","Characterization of sludge generated by electrocoagulation for the removal of heavy metals",2014,"Desalination and Water Treatment",52,"4-6",,909,919,,2,"10.1080/19443994.2013.826776","http://www.scopus.com/inward/record.url?eid=2-s2.0-84893844030&partnerID=40&md5=c43bdc7fc396d894f65cdb0dd0bc4535","Article","Scopus","2-s2.0-84893844030"
"Singh, R., Tiwari, S., Srivastava, M., Shukla, A.","Experimental study on the performance of microwave assisted hydrogen peroxide (H2O2) pretreatment of rice straw",2014,"Agricultural Engineering International: CIGR Journal",16,1,,173,181,,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897455248&partnerID=40&md5=b52b9605a62ff23687c85570ae7d835d","Article","Scopus","2-s2.0-84897455248"
"Huang, Y.F., Huang, G.H., Xiao, H.N., Chakma, A., Lin, Q.G., Xu, H.","Remediation of petroleum-contaminated sites through simulation of a DPVE-aided cleanup process: Part 2. Remediation design",2007,"Energy Sources, Part A: Recovery, Utilization and Environmental Effects",29,4,,367,387,,2,"10.1080/15567030600904460","http://www.scopus.com/inward/record.url?eid=2-s2.0-33847104617&partnerID=40&md5=473cd7885fb009ae5b7c1f592d1eb66c","Article","Scopus","2-s2.0-33847104617"
"Hjorth, M., Christensen, M.L.","Evaluation of methods to determine flocculation procedure for manure separation",2008,"Transactions of the ASABE",51,6,,2093,2103,,9,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-58149263561&partnerID=40&md5=9487b7745c8113f2538f6bab61f00587","Article","Scopus","2-s2.0-58149263561"
"Dangal, S.R.S., Felzer, B.S., Hurteau, M.D.","Effects of agriculture and timber harvest on carbon sequestration in the eastern US forests",2014,"Journal of Geophysical Research: Biogeosciences",119,1,,35,54,,4,"10.1002/2013JG002409","http://www.scopus.com/inward/record.url?eid=2-s2.0-84896970075&partnerID=40&md5=081e7c91d18244bc0f39cffcf3063fff","Article","Scopus","2-s2.0-84896970075"
"Bhardwaj, S.A.","Indian nuclear power programme - Past, present and future",2013,"Sadhana - Academy Proceedings in Engineering Sciences",38,5,,775,794,,,"10.1007/s12046-013-0187-4","http://www.scopus.com/inward/record.url?eid=2-s2.0-84888352738&partnerID=40&md5=74f782b98200f78c7922bae4b2785df3","Article","Scopus","2-s2.0-84888352738"
"Bhatnagar, A., Chinnasamy, S., Singh, M., Das, K.C.","Renewable biomass production by mixotrophic algae in the presence of various carbon sources and wastewaters",2011,"Applied Energy",88,10,,3425,3431,,81,"10.1016/j.apenergy.2010.12.064","http://www.scopus.com/inward/record.url?eid=2-s2.0-79957976512&partnerID=40&md5=2c58f76ba204e4cdabde69119bbd0467","Article","Scopus","2-s2.0-79957976512"
"Rotter, B.E., Barry, D.A., Gerhard, J.I., Small, J.S.","Modeling U(VI) biomineralization in single- and dual-porosity porous media",2008,"Water Resources Research",44,8," W08437",,,,5,"10.1029/2007WR006301","http://www.scopus.com/inward/record.url?eid=2-s2.0-53849133436&partnerID=40&md5=9f630aea67fa8ab72de579cffad865f5","Article","Scopus","2-s2.0-53849133436"
"Buttersack, C.","Separation by adsorption, chromatography or membranes | Stofftrennung durch adsorption, chromatographie oder membranen",1999,"Zuckerindustrie",124,11,,846,858,,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0040318648&partnerID=40&md5=8563f4a31d3c2fb428e845ea8e5ff902","Article","Scopus","2-s2.0-0040318648"
"Fisher, A.T., Barnhill, M., Revenaugh, J.","The relationship between hydrogeologic properties and sedimentary facies: An example from Pennsylvanian bedrock aquifers, southwestern Indiana",1998,"Ground Water",36,6,,901,912,,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032211931&partnerID=40&md5=68c498b0f7856883b5a96c90b031aadf","Article","Scopus","2-s2.0-0032211931"
"Zinatizadeh, A.A.L., Salamatinia, B., Zinatizadeh, S.L., Mohamed, A.R., Hasnain Isa, M.","Palm oil mill effluent digestion in an up-flow anaerobic sludge fixed film bioreactor",2007,"International Journal of Environmental Research",1,3,,264,271,,9,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-42449107874&partnerID=40&md5=16f56165ea9eedd448e73b20afd39e2f","Article","Scopus","2-s2.0-42449107874"
"Clavreul, J., Guyonnet, D., Tonini, D., Christensen, T.H.","Stochastic and epistemic uncertainty propagation in LCA",2013,"International Journal of Life Cycle Assessment",18,7,,1393,1403,,11,"10.1007/s11367-013-0572-6","http://www.scopus.com/inward/record.url?eid=2-s2.0-84887608461&partnerID=40&md5=16b20bc3e15b1bfb8b492c03306556b0","Article","Scopus","2-s2.0-84887608461"
