"process","resource","season","zone","value"
"anaerobicFermentation","biomassAgriWaste","wint","dormitories",0.00
"anaerobicFermentation","biomassAgriWaste","sum","dormitories",0.00
"anaerobicFermentation","biomassAgriWaste","shoulder","dormitories",0.00
"anaerobicFermentation","biomassAgriWaste","wint","energyIsland",0.00
"anaerobicFermentation","biomassAgriWaste","sum","energyIsland",0.00
"anaerobicFermentation","biomassAgriWaste","shoulder","energyIsland",0.00
"anaerobicFermentation","biomassAgriWaste","wint","factory",0.00
"anaerobicFermentation","biomassAgriWaste","sum","factory",0.00
"anaerobicFermentation","biomassAgriWaste","shoulder","factory",0.00
"anaerobicFermentation","biomassAgriWaste","wint","factory_assembly",0.00
"anaerobicFermentation","biomassAgriWaste","sum","factory_assembly",0.00
"anaerobicFermentation","biomassAgriWaste","shoulder","factory_assembly",0.00
"anaerobicFermentation","biomassAgriWaste","wint","factory_blades",0.00
"anaerobicFermentation","biomassAgriWaste","sum","factory_blades",0.00
"anaerobicFermentation","biomassAgriWaste","shoulder","factory_blades",0.00
"anaerobicFermentation","biomassAgriWaste","wint","hospital",0.00
"anaerobicFermentation","biomassAgriWaste","sum","hospital",0.00
"anaerobicFermentation","biomassAgriWaste","shoulder","hospital",0.00
"anaerobicFermentation","biomassAgriWaste","wint","multifunction",0.00
"anaerobicFermentation","biomassAgriWaste","sum","multifunction",0.00
"anaerobicFermentation","biomassAgriWaste","shoulder","multifunction",0.00
"anaerobicFermentation","biomassAgriWaste","wint","northDistrict",0.00
"anaerobicFermentation","biomassAgriWaste","sum","northDistrict",0.00
"anaerobicFermentation","biomassAgriWaste","shoulder","northDistrict",0.00
"anaerobicFermentation","biomassAgriWaste","wint","quality",0.00
"anaerobicFermentation","biomassAgriWaste","sum","quality",0.00
"anaerobicFermentation","biomassAgriWaste","shoulder","quality",0.00
"anaerobicFermentation","biomassAgriWaste","wint","reserved",0.00
"anaerobicFermentation","biomassAgriWaste","sum","reserved",0.00
"anaerobicFermentation","biomassAgriWaste","shoulder","reserved",0.00
"anaerobicFermentation","biomassAgriWaste","wint","residential",0.00
"anaerobicFermentation","biomassAgriWaste","sum","residential",0.00
"anaerobicFermentation","biomassAgriWaste","shoulder","residential",0.00
"anaerobicFermentation","biomassAgriWaste","wint","school",0.00
"anaerobicFermentation","biomassAgriWaste","sum","school",0.00
"anaerobicFermentation","biomassAgriWaste","shoulder","school",0.00
"anaerobicFermentation","biomassAgriWaste","wint","tech",0.00
"anaerobicFermentation","biomassAgriWaste","sum","tech",0.00
"anaerobicFermentation","biomassAgriWaste","shoulder","tech",0.00
"anaerobicFermentation","biooil","wint","dormitories",0.00
"anaerobicFermentation","biooil","sum","dormitories",0.00
"anaerobicFermentation","biooil","shoulder","dormitories",0.00
"anaerobicFermentation","biooil","wint","energyIsland",0.00
"anaerobicFermentation","biooil","sum","energyIsland",0.00
